,Name,AB,AVG,SLG,H,1B,2B,3B,HR,BB,HBP,SB,CS,Total_Bases,Runs_Created
564,Willi Castro,365,0.241,0.367,88,60,18,2,8,15,8,9,4,134,38.33505155
569,Austin Barnes,200,0.215,0.345,43,29,8,0,6,20,4,1,0,69,20.63839286
624,Jorge Alfaro,295,0.244,0.342,72,52,15,1,4,11,5,8,1,101,28.57877814
616,David Fletcher,216,0.255,0.333,55,43,9,1,2,7,3,1,0,72,20.7079646
655,Aristides Aquino,259,0.197,0.363,51,28,13,0,10,17,0,2,3,94,23.15942029
199,Ryan Mountcastle,534,0.255,0.487,136,79,23,1,33,41,4,4,3,260,81.27806563
221,Brad Miller,331,0.227,0.453,75,43,9,3,20,45,1,3,0,150,48.14323607
259,Trey Mancini,556,0.255,0.432,142,87,33,1,21,51,8,0,0,240,78.43902439
308,Eric Hosmer,509,0.269,0.395,137,97,28,0,12,48,5,5,4,201,67.95373665
363,Bryan De La Cruz,329,0.252,0.432,83,50,20,0,13,19,2,4,0,142,42.19428571
471,Aledmys Diaz,305,0.243,0.403,74,49,13,0,12,18,2,1,1,123,35.57538462
448,Tommy Pham,554,0.236,0.374,131,90,23,1,17,56,7,8,3,207,65.08589951
532,Travis d'Arnaud,209,0.22,0.388,46,25,14,0,7,17,2,0,0,81,23.09210526
556,Owen Miller,424,0.243,0.351,103,70,26,1,6,32,7,2,0,149,45.69762419
561,Joey Gallo,350,0.16,0.357,56,27,8,2,19,56,3,3,0,125,35.14669927
631,Kyle Higashioka,193,0.181,0.389,35,15,10,0,10,17,0,0,0,75,18.57142857
635,Yan Gomes,277,0.235,0.365,65,45,12,0,8,8,3,2,0,101,26.65277778
667,Jose Trevino,285,0.239,0.34,68,49,14,0,5,12,0,1,1,97,26.12794613
208,Bobby Dalbec,417,0.24,0.494,100,49,21,5,25,28,7,2,0,206,61.52654867
273,Salvador Perez,445,0.254,0.465,113,66,23,1,23,18,7,0,0,207,60.7787234
321,Sam Hilliard,214,0.215,0.463,46,23,7,2,14,23,1,5,0,99,29.11764706
242,Lane Thomas,226,0.235,0.412,53,29,15,2,7,37,0,6,3,93,31.82509506
313,Donovan Solano,278,0.284,0.385,79,59,16,0,4,19,5,0,0,107,36.49337748
440,Jorge Soler,270,0.207,0.4,56,30,13,0,13,31,3,0,2,108,31.97368421
494,A.J. Pollock,489,0.245,0.389,120,79,26,1,14,32,2,3,1,190,55.94646272
531,Jorge Alfaro,256,0.246,0.383,63,42,14,0,7,11,4,1,0,98,28.20664207
517,Brian Anderson,338,0.222,0.346,75,50,16,1,8,37,7,1,0,117,36.44764398
580,Cesar Hernandez,560,0.248,0.318,139,106,28,4,1,45,7,10,4,178,55.55228758
593,Enrique Hernandez,361,0.222,0.338,80,50,24,0,6,34,3,0,2,122,35.86432161
641,Ha-seong Kim,267,0.202,0.352,54,32,12,2,8,22,4,6,1,94,25.66552901
660,Martin Maldonado,344,0.186,0.352,64,37,12,0,15,22,7,0,0,121,30.1689008
214,Charlie Blackmon,514,0.27,0.411,139,97,25,4,13,54,11,3,0,211,74.34196891
343,Joc Pederson,429,0.238,0.422,102,62,19,3,18,39,8,2,3,181,56.65756303
420,Anthony Santander,406,0.241,0.433,98,56,24,0,18,23,4,1,1,176,50.80831409
360,Jonathan India,386,0.249,0.378,96,68,16,2,10,31,14,3,4,146,47.76334107
457,Corey Dickerson,281,0.267,0.399,75,51,17,1,6,12,2,0,0,112,33.78983051
447,Christian Walker,401,0.244,0.382,98,64,23,1,10,38,4,0,0,153,48.35214447
367,Jesse Winker,456,0.219,0.344,100,71,15,0,14,84,4,0,0,157,54.25735294
449,Yonathan Daza,301,0.282,0.355,85,69,12,2,2,21,2,2,1,107,35.66666667
543,Christian Vazquez,458,0.258,0.352,118,88,23,1,6,33,2,8,4,161,49.96551724
600,Rougned Odor,426,0.207,0.357,88,53,19,3,13,32,10,6,1,152,42.22222222
583,Jon Berti,233,0.21,0.313,49,34,10,1,4,32,3,8,4,73,22.88059701
619,Carson Kelly,317,0.211,0.334,67,42,18,0,7,29,4,2,0,106,30.28571429
218,Luke Voit,213,0.239,0.437,51,32,7,1,11,21,7,0,0,93,30.48547718
327,Eloy Jimenez,213,0.249,0.437,53,33,10,0,10,16,1,0,0,93,28.30434783
365,Eric Hosmer,380,0.268,0.382,102,75,19,0,8,37,1,0,0,145,48.5645933
450,Tyler Naquin,310,0.229,0.423,71,37,19,4,11,19,4,4,2,131,36.97897898
406,Mitch Garver,188,0.207,0.404,39,22,7,0,10,23,2,1,1,76,22.83568075
485,Victor Reyes,209,0.258,0.416,54,35,10,4,5,8,0,5,1,87,24.85714286
403,Andrew McCutchen,515,0.237,0.384,122,80,25,0,17,57,4,8,6,198,62.90625
520,Raimel Tapia,411,0.265,0.38,109,79,20,3,7,16,0,8,2,156,45.66744731
533,Jorge Mateo,194,0.247,0.376,48,32,11,1,4,9,4,10,3,73,21.51207729
551,Garrett Hampson,453,0.234,0.38,106,68,21,6,11,33,3,17,7,172,49.94683027
671,Victor Robles,366,0.224,0.311,82,64,10,2,6,17,9,15,4,114,31.40816327
291,Ben Gamel,340,0.247,0.388,84,55,18,3,8,51,3,3,6,132,46.23350254
319,Pavin Smith,498,0.267,0.404,133,91,27,4,11,42,4,1,0,201,66.13786765
381,Luke Voit,500,0.226,0.402,113,69,22,0,22,55,7,1,1,201,62.58896797
492,LaMonte Wade Jr.,217,0.207,0.359,45,29,7,1,8,26,5,1,0,78,23.90322581
596,Francisco Mejia,289,0.242,0.381,70,42,22,0,6,7,2,0,0,110,29.16107383
652,Nick Madrigal,209,0.249,0.282,52,45,7,0,0,14,3,3,1,59,18.01327434
330,Charlie Blackmon,530,0.264,0.419,140,96,22,6,16,32,8,4,1,222,70.10526316
418,Chad Pinder,214,0.243,0.411,52,29,16,1,6,16,2,1,0,88,26.55172414
479,Randal Grichuk,511,0.241,0.423,123,75,25,1,22,27,3,0,3,216,61.08687616
512,Pavin Smith,245,0.22,0.367,54,36,9,0,9,28,1,1,0,90,27.26277372
677,Martin Maldonado,373,0.172,0.3,64,41,10,1,12,47,5,0,0,112,30.56941176
711,Yadier Molina,262,0.214,0.302,56,43,8,0,5,5,2,2,0,79,18.50185874
706,Paul DeJong,210,0.157,0.286,33,18,9,0,6,21,4,3,2,60,14.80851064
712,Austin Hedges,286,0.178,0.308,51,34,7,0,10,15,1,1,0,88,19.52317881
718,Brett Phillips,201,0.144,0.249,29,18,6,0,5,16,3,7,0,50,10.90909091
454,Luis Garcia,360,0.275,0.408,99,67,23,2,7,11,1,3,4,147,43.86290323
460,Harold Ramirez,339,0.268,0.398,91,62,21,1,7,14,5,3,1,135,41.48044693
461,Josh Naylor,233,0.253,0.399,59,39,13,0,7,14,2,1,0,93,28.01204819
361,Connor Joe,404,0.238,0.359,96,65,20,4,7,55,7,6,2,145,49.16309013
413,Ben Gamel,371,0.232,0.369,86,55,20,2,9,48,3,5,1,137,44.47630332
452,Brandon Belt,254,0.213,0.35,54,36,9,1,8,37,6,1,0,89,29.06734007
638,Willi Castro,413,0.22,0.351,91,61,15,6,9,23,8,9,4,145,39.84234234
647,Sergio Alcantara,205,0.22,0.356,45,30,8,1,6,12,1,1,2,73,19.42201835
680,Marwin Gonzalez,184,0.185,0.321,34,21,7,0,6,14,4,3,0,59,15.18811881
676,Max Stassi,333,0.18,0.303,60,38,12,1,9,38,2,0,0,101,27.07774799
300,Yadiel Hernandez,264,0.273,0.413,72,54,8,1,9,22,1,3,0,109,36.08013937
267,Daniel Vogelbach,215,0.219,0.381,47,30,8,0,9,43,0,0,0,82,28.60465116
347,Yadiel Hernandez,305,0.269,0.41,82,57,16,0,9,19,1,2,1,125,39.23076923
428,Eugenio Suarez,505,0.198,0.428,100,46,23,0,31,56,8,0,1,216,62.25659051
455,Aristides Aquino,174,0.19,0.408,33,16,6,1,10,27,1,2,2,71,21.44059406
555,Bobby Dalbec,317,0.215,0.369,68,45,9,2,12,29,3,3,0,117,33.5243553
591,Chad Pinder,361,0.235,0.385,85,55,18,0,12,14,0,2,0,139,36.696
579,Nick Gordon,200,0.24,0.355,48,34,9,1,4,12,3,10,1,71,20.80465116
607,Jeimer Candelario,429,0.217,0.361,93,59,19,2,13,28,6,0,1,155,42.5161987
597,Matt Duffy,228,0.25,0.311,57,47,8,0,2,17,2,0,0,71,21.84615385
697,Kevin Newman,517,0.226,0.309,117,87,22,3,5,27,1,6,1,160,42.56880734
691,Jackie Bradley Jr.,344,0.203,0.311,70,42,23,1,4,24,0,2,3,107,27.33152174
350,Randal Grichuk,506,0.259,0.425,131,88,21,3,19,24,6,4,0,215,64.58022388
459,Albert Pujols,275,0.236,0.433,65,45,3,0,17,14,5,2,0,119,34
490,Cavan Biggio,250,0.224,0.356,56,38,10,1,7,37,1,3,1,89,29.04861111
575,Victor Reyes,315,0.254,0.362,80,55,19,3,3,13,4,2,2,114,33.30722892
567,Alec Bohm,380,0.247,0.342,94,72,15,0,7,31,2,4,0,130,39.97578692
623,Victor Robles,315,0.203,0.295,64,40,21,1,2,33,16,8,6,93,28.87087912
681,Akil Baddoo,201,0.204,0.269,41,34,3,2,2,24,0,9,6,54,15.6
686,Tucker Barnhart,281,0.221,0.267,62,51,10,0,1,25,1,0,0,75,21.49837134
279,Jorge Soler,516,0.223,0.432,115,61,27,0,27,67,6,0,0,223,71.17826825
431,Rowdy Tellez,297,0.242,0.414,72,45,14,2,11,23,4,0,0,123,37.58333333
422,Andrew Vaughn,417,0.235,0.396,98,61,22,0,15,41,6,1,1,165,51.5625
573,Marcell Ozuna,188,0.213,0.356,40,27,6,0,7,19,1,0,0,67,19.32692308
578,Robbie Grossman,411,0.209,0.311,86,59,19,1,7,56,6,6,2,128,40.05073996
692,Didi Gregorius,214,0.21,0.304,45,31,9,4,1,13,3,1,0,65,17.23913043
255,Andrew Vaughn,510,0.271,0.429,138,92,28,1,17,31,9,0,0,219,70.87636364
501,Harold Castro,420,0.271,0.381,114,84,21,2,7,17,1,0,1,160,48.21917808
552,Jesus Aguilar,464,0.235,0.379,109,74,19,0,16,28,4,1,0,176,50.03225806
654,Garrett Hampson,199,0.211,0.307,42,30,7,3,2,21,1,12,2,61,17.66515837
661,Yasmani Grandal,327,0.202,0.269,66,54,7,0,5,45,2,1,0,88,26.58823529
513,Carlos Santana,565,0.214,0.342,121,87,15,0,19,86,3,2,0,193,61.97247706
577,Mike Moustakas,183,0.208,0.372,38,20,12,0,6,18,2,0,0,68,19.42857143
562,Mike Moustakas,252,0.214,0.345,54,35,12,0,7,24,6,2,0,87,25.91489362
672,Marwin Gonzalez,276,0.199,0.304,55,36,14,0,5,20,9,3,2,84,23.13442623
694,Sam Hilliard,174,0.184,0.264,32,23,6,1,2,23,1,5,1,46,13.01010101
439,Miguel Cabrera,472,0.256,0.386,121,90,16,0,15,40,5,0,0,182,58.43713733
491,Marcell Ozuna,470,0.226,0.413,106,64,19,0,23,31,2,2,1,194,53.61033797
528,Luis Garcia,236,0.242,0.411,57,31,18,2,6,11,0,0,2,97,26.70445344
534,Harold Castro,315,0.283,0.359,89,72,13,1,3,14,1,1,1,113,35.61212121
601,Jared Walsh,423,0.215,0.374,91,56,18,2,15,27,4,2,1,158,42.45814978
626,Victor Caratini,313,0.227,0.323,71,55,9,0,7,35,4,2,0,101,31.5625
657,Jacob Stallings,346,0.223,0.292,77,61,12,0,4,29,6,0,1,101,29.69028871
674,Avisail Garcia,357,0.224,0.317,80,63,9,0,8,17,4,4,0,113,30.19312169
715,Austin Hedges,294,0.163,0.248,48,37,4,0,7,25,6,2,0,73,17.74461538
445,Nick Castellanos,524,0.263,0.389,138,98,27,0,13,29,3,7,1,204,62.37410072
516,Jurickson Profar,353,0.227,0.32,80,57,17,2,4,49,6,10,5,113,37.38970588
529,Darin Ruf,334,0.204,0.338,68,45,12,0,11,45,6,2,0,113,34.92727273
605,Frank Schwindel,271,0.229,0.358,62,43,11,0,8,19,0,0,0,97,27.09310345
664,Maikel Franco,377,0.21,0.355,79,46,22,0,11,20,3,0,0,134,34.17
700,Abraham Toro,324,0.185,0.324,60,36,13,1,10,22,2,2,0,105,25.34482759
526,Nelson Cruz,448,0.234,0.337,105,79,16,0,10,49,4,4,0,151,47.62075848
613,Didi Gregorius,368,0.209,0.37,77,46,16,2,13,25,8,3,0,136,37.30673317
668,Maikel Franco,371,0.229,0.342,85,61,15,0,9,12,2,1,0,127,32.65714286
